EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1575664841.057606,333934.000,58071,4,GX,1,100,0.183
1575664841.095591,333966.000,58071,4,GX,1,100,-1.038
1575664841.133575,333998.000,58071,4,GX,1,100,-0.824
1575664841.174725,334032.667,58088,3,GX,1,100,-1.007
1575664841.215874,334067.333,58088,3,GX,1,100,-0.488
1575664841.257024,334102.000,58088,3,GX,1,100,0.153
1575664841.297976,334136.500,58105,2,GX,1,100,0.916
1575664841.338928,334171.000,58105,2,GX,1,100,-1.953
1575664841.384034,334209.000,58123,3,GX,1,100,-2.258
1575664841.429141,334247.000,58123,3,GX,1,100,-3.937
1575664841.474247,334285.000,58123,3,GX,1,100,-3.662
1575664841.511440,334316.333,58141,3,GX,1,100,-2.991
1575664841.548633,334347.667,58141,3,GX,1,100,-3.113
1575664841.585826,334379.000,58141,3,GX,1,100,-1.434
1575664841.626976,334413.667,58159,3,GX,1,100,-1.404
1575664841.668125,334448.333,58159,3,GX,1,100,-1.251
1575664841.709275,334483.000,58159,3,GX,1,100,-2.960
1575664841.746369,334514.250,58178,4,GX,1,100,-2.350
1575664841.783463,334545.500,58178,4,GX,1,100,-10.345
1575664841.820557,334576.750,58178,4,GX,1,100,-6.317
1575664841.857651,334608.000,58178,4,GX,1,100,0.061
1575664841.900977,334644.500,58196,2,GX,1,100,0.122
1575664841.944303,334681.000,58196,2,GX,1,100,-12.115
1575664841.981496,334712.333,58214,3,GX,1,100,-11.932
1575664842.018689,334743.667,58214,3,GX,1,100,-29.816
1575664842.055882,334775.000,58214,3,GX,1,100,-6.927
1575664842.097823,334810.333,58231,3,GX,1,100,-10.925
1575664842.139764,334845.667,58231,3,GX,1,100,-12.238
1575664842.181705,334881.000,58231,3,GX,1,100,-12.726
1575664842.219689,334913.000,58249,3,GX,1,100,-4.852
1575664842.257674,334945.000,58249,3,GX,1,100,-3.723
1575664842.295658,334977.000,58249,3,GX,1,100,4.242
1575664842.336808,335011.667,58267,3,GX,1,100,7.904
1575664842.377958,335046.333,58267,3,GX,1,100,6.348
1575664842.419107,335081.000,58267,3,GX,1,100,0.244
1575664842.457883,335113.667,58283,3,GX,1,100,-4.669
1575664842.496659,335146.333,58283,3,GX,1,100,-2.045
1575664842.535434,335179.000,58283,3,GX,1,100,-4.150
1575664842.576188,335213.333,58301,3,GX,1,100,-3.845
1575664842.616942,335247.667,58301,3,GX,1,100,0.275
1575664842.657696,335282.000,58301,3,GX,1,100,-0.885
1575664842.698846,335316.667,58320,3,GX,1,100,-0.885
1575664842.739995,335351.333,58320,3,GX,1,100,-0.244
1575664842.781145,335386.000,58320,3,GX,1,100,-1.099
1575664842.823086,335421.333,58338,3,GX,1,100,1.556
1575664842.865027,335456.667,58338,3,GX,1,100,2.197
1575664842.906968,335492.000,58338,3,GX,1,100,-1.617
1575664842.948514,335527.000,58356,3,GX,1,100,-1.007
1575664842.990059,335562.000,58356,3,GX,1,100,-4.883
1575664843.031604,335597.000,58356,3,GX,1,100,-2.380
1575664843.069193,335628.667,58374,3,GX,1,100,9.613
1575664843.106782,335660.333,58374,3,GX,1,100,9.521
1575664843.144370,335692.000,58374,3,GX,1,100,8.484
1575664843.184729,335726.000,58392,3,GX,1,100,5.859
1575664843.225087,335760.000,58392,3,GX,1,100,6.866
1575664843.265445,335794.000,58392,3,GX,1,100,3.693
1575664843.305408,335827.667,58410,3,GX,1,100,4.150
1575664843.345371,335861.333,58410,3,GX,1,100,5.157
1575664843.385334,335895.000,58410,3,GX,1,100,8.484
1575664843.427274,335930.333,58427,3,GX,1,100,2.075
1575664843.469215,335965.667,58427,3,GX,1,100,1.312
1575664843.511157,336001.000,58427,3,GX,1,100,5.707
1575664843.549141,336033.000,58445,3,GX,1,100,7.050
1575664843.587125,336065.000,58445,3,GX,1,100,5.096
1575664843.625109,336097.000,58445,3,GX,1,100,5.341
1575664843.666655,336132.000,58461,3,GX,1,100,11.597
1575664843.708200,336167.000,58461,3,GX,1,100,7.355
1575664843.749746,336202.000,58461,3,GX,1,100,2.747
1575664843.789708,336235.667,58480,3,GX,1,100,2.136
1575664843.829671,336269.333,58480,3,GX,1,100,1.282
1575664843.869634,336303.000,58480,3,GX,1,100,0.122
1575664843.910942,336337.800,58501,5,GX,1,100,2.625
1575664843.952250,336372.600,58501,5,GX,1,100,1.587
1575664843.993557,336407.400,58501,5,GX,1,100,0.732
1575664844.034865,336442.200,58501,5,GX,1,100,3.021
1575664844.076173,336477.000,58501,5,GX,1,100,4.150
1575664844.116136,336510.667,58520,3,GX,1,100,-0.488
1575664844.156099,336544.333,58520,3,GX,1,100,-0.122
1575664844.196061,336578.000,58520,3,GX,1,100,1.068
1575664844.234046,336610.000,58538,3,GX,1,100,-1.007
1575664844.272030,336642.000,58538,3,GX,1,100,-1.495
1575664844.310014,336674.000,58538,3,GX,1,100,-2.014
1575664844.352747,336710.000,58556,3,GX,1,100,0.458
1575664844.395479,336746.000,58556,3,GX,1,100,1.831
1575664844.438211,336782.000,58556,3,GX,1,100,-1.495
1575664844.479361,336816.667,58572,3,GX,1,100,-1.709
1575664844.520511,336851.333,58572,3,GX,1,100,-2.228
1575664844.561661,336886.000,58572,3,GX,1,100,-0.061
1575664844.602019,336920.000,58590,3,GX,1,100,0.000
1575664844.642377,336954.000,58590,3,GX,1,100,0.061
1575664844.682736,336988.000,58590,3,GX,1,100,0.427
1575664844.724874,337023.500,58609,2,GX,1,100,-0.641
1575664844.767013,337059.000,58609,2,GX,1,100,0.305
1575664844.804701,337090.750,58627,4,GX,1,100,0.000
1575664844.842388,337122.500,58627,4,GX,1,100,-1.038
1575664844.880076,337154.250,58627,4,GX,1,100,-0.031
1575664844.917764,337186.000,58627,4,GX,1,100,-1.526
1575664844.955748,337218.000,58645,2,GX,1,100,0.031
1575664844.993732,337250.000,58645,2,GX,1,100,0.824
1575664845.037652,337287.000,58663,3,GX,1,100,-1.038
1575664845.081571,337324.000,58663,3,GX,1,100,0.854
1575664845.125490,337361.000,58663,3,GX,1,100,-0.275
