EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1574713118.983384,226732.000,39266,1,B%,1,100,13
1574713119.990299,227579.000,39408,1,B%,1,100,13
1574713120.993647,228423.000,39568,1,B%,1,100,13
1574713121.989863,229261.000,39715,1,B%,1,100,13
1574713122.981324,230095.000,39857,1,B%,1,100,13
1574713123.991805,230945.000,39999,1,B%,1,100,13
1574713124.992776,231787.000,40161,1,B%,1,100,13
1574713125.992559,232628.000,40303,1,B%,1,100,13
1574713126.989964,233467.000,40446,1,B%,1,100,12
1574713127.980235,234300.000,40596,1,B%,1,100,12
1574713128.984773,235145.000,40738,1,B%,1,100,13
1574713129.975044,235978.000,40880,1,B%,1,100,13
1574713130.981960,236825.000,41040,1,B%,1,100,13
1574713131.994819,237677.000,41182,1,B%,1,100,13
1574713132.987468,238512.000,41342,1,B%,1,100,13
1574713133.980118,239347.000,41471,1,B%,1,100,13
1574713134.965634,240176.000,41615,1,B%,1,100,12
1574713135.964228,241016.000,41776,1,B%,1,100,13
1574713136.958066,241852.000,41918,1,B%,1,100,13
1574713137.970925,242704.000,42060,1,B%,1,100,13
1574713138.980218,243553.000,42220,1,B%,1,100,13
1574713139.968112,244384.000,42370,1,B%,1,100,13
1574713140.971461,245228.000,42512,1,B%,1,100,13
1574713141.965299,246064.000,42654,1,B%,1,100,12
1574713142.962704,246903.000,42798,1,B%,1,100,12
1574713143.962486,247744.000,42959,1,B%,1,100,12
1574713144.965835,248588.000,43101,1,B%,1,100,13
1574713145.956106,249421.000,43248,1,B%,1,100,13
1574713146.964210,250269.000,43390,1,B%,1,100,12
1574713147.972314,251117.000,43550,1,B%,1,100,12
1574713148.967341,251954.000,43692,1,B%,1,100,13
1574713149.959991,252789.000,43834,1,B%,1,100,12
1574713150.965717,253635.000,43996,1,B%,1,100,12
1574713151.963122,254474.000,44124,1,B%,1,100,12
1574713152.960526,255313.000,44284,1,B%,1,100,12
1574713153.966253,256159.000,44428,1,B%,1,100,12
1574713154.973168,257006.000,44571,1,B%,1,100,13
1574713155.961062,257837.000,44731,1,B%,1,100,13
1574713156.970355,258686.000,44873,1,B%,1,100,12
1574713157.959438,259518.000,45022,1,B%,1,100,12
1574713158.974674,260372.000,45164,1,B%,1,100,12
1574713159.969701,261209.000,45306,1,B%,1,100,12
1574713160.974239,262054.000,45466,1,B%,1,100,13
1574713161.962133,262885.000,45610,1,B%,1,100,12
1574713162.953594,263719.000,45753,1,B%,1,100,13
1574713163.964075,264569.000,45899,1,B%,1,100,12
1574713164.957913,265405.000,46042,1,B%,1,100,12
1574713165.967206,266254.000,46202,1,B%,1,100,12
1574713166.978876,267105.000,46344,1,B%,1,100,12
1574713167.976281,267944.000,46504,1,B%,1,100,12
1574713168.968930,268779.000,46646,1,B%,1,100,12
1574713169.967524,269619.000,46796,1,B%,1,100,12
1574713170.981572,270472.000,46938,1,B%,1,100,12
